ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore
31,6296.00,255.00,465.00,362.00,329293.00,69151.53,260141.47,1096.77,812
32,7057.00,348.00,439.00,422.00,297387.00,14869.35,282517.65,2073.01,501
33,6828.00,274.00,361.00,215.00,473699.00,123161.74,350537.26,1673.52,798
34,3138.00,486.00,374.00,441.00,374944.00,89986.56,284957.44,1895.83,615
35,9391.00,282.00,479.00,378.00,364140.00,43696.80,320443.20,1529.84,794
36,2280.00,251.00,440.00,275.00,322941.00,35523.51,287417.49,1723.21,687
37,2948.00,487.00,438.00,240.00,455446.00,45544.60,409901.40,2200.44,723
38,8158.00,339.00,368.00,309.00,243152.00,46198.88,196953.12,1057.29,707
39,6888.00,483.00,479.00,260.00,460899.00,87570.81,373328.19,2238.29,664
40,5898.00,420.00,383.00,229.00,237732.00,54678.36,183053.64,1217.86,636
41,6836.00,438.00,451.00,250.00,349490.00,97857.20,251632.80,1846.39,522
42,2004.00,338.00,447.00,297.00,286237.00,71559.25,214677.75,1575.23,586
43,9018.00,433.00,455.00,253.00,307261.00,15363.05,291897.95,1566.97,710
44,2096.00,279.00,386.00,380.00,465616.00,116404.00,349212.00,1667.19,795
45,9876.00,496.00,388.00,325.00,322165.00,38659.80,283505.20,1699.76,678
46,4922.00,334.00,433.00,351.00,269467.00,48504.06,220962.94,1621.35,556
47,4310.00,431.00,466.00,362.00,438470.00,65770.50,372699.50,2000.73,732
48,4701.00,420.00,434.00,210.00,341408.00,30726.72,310681.28,1483.24,766
49,7641.00,340.00,469.00,286.00,291836.00,26265.24,265570.76,1948.66,541
50,3460.00,410.00,465.00,428.00,271147.00,67786.75,203360.25,1091.68,745
51,2532.00,308.00,459.00,286.00,451273.00,67690.95,383582.05,2814.59,576
52,2746.00,219.00,408.00,242.00,430821.00,86164.20,344656.80,2066.39,659
53,8811.00,316.00,391.00,363.00,315497.00,44169.58,271327.42,1626.74,674
54,2824.00,361.00,403.00,424.00,396207.00,95089.68,301117.32,1805.35,693
55,6239.00,221.00,467.00,293.00,239831.00,64754.37,175076.63,1284.65,586
56,9076.00,405.00,379.00,316.00,462570.00,46257.00,416313.00,2769.74,625
57,7093.00,366.00,421.00,243.00,294303.00,61803.63,232499.37,1546.82,633
58,5780.00,468.00,459.00,407.00,440180.00,70428.80,369751.20,2713.10,546
59,7589.00,313.00,402.00,216.00,358911.00,46658.43,312252.57,2291.20,515
60,9852.00,230.00,376.00,303.00,429903.00,77382.54,352520.46,2345.33,634
61,2638.00,418.00,403.00,323.00,298247.00,17894.82,280352.18,1680.85,653
62,3138.00,293.00,460.00,232.00,284459.00,17067.54,267391.46,1127.33,842
63,7597.00,301.00,463.00,378.00,422126.00,42212.60,379913.40,1813.76,755
64,7296.00,365.00,478.00,324.00,367543.00,102912.04,264630.96,1760.60,639
65,9393.00,327.00,351.00,396.00,492711.00,137959.08,354751.92,2360.17,619
66,3192.00,305.00,472.00,403.00,258932.00,23303.88,235628.12,1264.90,716
67,7969.00,293.00,497.00,235.00,279250.00,80982.50,198267.50,1188.71,654
68,9814.00,288.00,446.00,342.00,367849.00,44141.88,323707.12,1545.43,775
69,4689.00,243.00,466.00,346.00,250049.00,32506.37,217542.63,1038.58,773
70,7562.00,475.00,416.00,277.00,324348.00,64869.60,259478.40,1903.96,539
71,8139.00,349.00,425.00,438.00,466044.00,69906.60,396137.40,1891.22,796
72,8185.00,404.00,482.00,313.00,296998.00,41579.72,255418.28,1371.14,737
73,2670.00,395.00,410.00,316.00,430636.00,120578.08,310057.92,2062.82,646
74,2477.00,324.00,398.00,358.00,431552.00,25893.12,405658.88,2976.58,584
75,8620.00,244.00,486.00,214.00,453685.00,36294.80,417390.20,3062.66,549
76,8181.00,412.00,360.00,213.00,305392.00,58024.48,247367.52,1483.09,698
77,3913.00,362.00,426.00,274.00,248170.00,37225.50,210944.50,1132.40,726
78,7127.00,278.00,431.00,234.00,491642.00,132743.34,358898.66,2151.78,698
79,2138.00,397.00,488.00,233.00,462541.00,87882.79,374658.21,2246.27,649
80,8136.00,258.00,457.00,396.00,407840.00,77489.60,330350.40,1773.39,709
81,7944.00,384.00,414.00,353.00,304287.00,69986.01,234300.99,1558.81,645
82,9845.00,247.00,464.00,335.00,356831.00,67797.89,289033.11,1922.94,637
83,7436.00,244.00,374.00,273.00,302894.00,72694.56,230199.44,1689.12,531
84,2588.00,300.00,451.00,204.00,272185.00,54437.00,217748.00,1597.76,565
85,8097.00,387.00,443.00,295.00,258761.00,38814.15,219946.85,1318.69,695
86,7764.00,489.00,451.00,292.00,453895.00,63545.30,390349.70,2095.48,704
87,5770.00,408.00,474.00,415.00,273532.00,13676.60,259855.40,1728.82,644
88,3343.00,264.00,374.00,248.00,433090.00,34647.20,398442.80,2650.85,619
89,8256.00,233.00,499.00,400.00,392365.00,102014.90,290350.10,2130.49,502
90,5571.00,452.00,431.00,245.00,486339.00,121584.75,364754.25,1958.08,736
91,6880.00,488.00,438.00,270.00,429352.00,38641.68,390710.32,2866.89,529
92,4963.00,355.00,354.00,256.00,470956.00,47095.60,423860.40,2023.57,778
93,9908.00,340.00,408.00,415.00,493646.00,128347.96,365298.04,1743.99,763
94,8921.00,481.00,475.00,443.00,299451.00,59890.20,239560.80,1757.81,503
95,7028.00,424.00,433.00,348.00,451762.00,76799.54,374962.46,2494.63,621
96,9467.00,481.00,352.00,370.00,299205.00,44880.75,254324.25,1365.27,718
97,3408.00,427.00,417.00,326.00,454991.00,104647.93,350343.07,2330.84,613
98,9160.00,228.00,455.00,252.00,299081.00,74770.25,224310.75,1204.15,707
99,5200.00,438.00,480.00,447.00,387588.00,34882.92,352705.08,2588.02,548
100,4704.00,467.00,422.00,431.00,453290.00,45329.00,407961.00,2993.47,589
101,3566.00,291.00,479.00,353.00,443941.00,53272.92,390668.08,2866.58,523
102,8837.00,424.00,433.00,310.00,395914.00,51468.82,344445.18,2527.42,585
103,2985.00,420.00,402.00,274.00,484150.00,101671.50,382478.50,2293.15,680
104,8870.00,268.00,409.00,346.00,348057.00,34805.70,313251.30,1878.10,652
105,7171.00,460.00,449.00,261.00,347111.00,34711.10,312399.90,1677.03,730
106,8901.00,410.00,440.00,381.00,366209.00,43945.08,322263.92,2364.66,565
107,4289.00,256.00,387.00,348.00,462369.00,134087.01,328281.99,1567.27,781
108,9265.00,493.00,471.00,222.00,399977.00,95994.48,303982.52,2230.52,569
109,9740.00,354.00,406.00,237.00,385752.00,42432.72,343319.28,1843.01,705
110,9018.00,324.00,406.00,276.00,237087.00,68755.23,168331.77,1119.92,607
111,5927.00,486.00,383.00,282.00,397229.00,35750.61,361478.39,1524.01,841
112,7132.00,413.00,433.00,420.00,275140.00,41271.00,233869.00,986.00,837
113,5986.00,337.00,456.00,410.00,485934.00,68030.76,417903.24,1995.13,781
114,2478.00,330.00,442.00,271.00,372498.00,44699.76,327798.24,1382.01,843
115,9399.00,251.00,368.00,281.00,363241.00,39956.51,323284.49,1735.46,745
116,3141.00,228.00,385.00,391.00,302726.00,45408.90,257317.10,1228.47,783
117,2801.00,415.00,447.00,267.00,484987.00,53348.57,431638.43,2871.70,620
118,7145.00,348.00,379.00,359.00,248811.00,64690.86,184120.14,1103.89,682
119,5382.00,360.00,462.00,392.00,393000.00,102180.00,290820.00,1226.11,809
120,9986.00,227.00,386.00,438.00,266420.00,61276.60,205143.40,1505.27,536
121,3086.00,230.00,405.00,262.00,458876.00,82597.68,376278.32,2019.94,714
122,5889.00,208.00,402.00,278.00,408502.00,69445.34,339056.66,2487.88,585
123,6724.00,439.00,374.00,214.00,382436.00,19121.80,363314.20,2665.87,580
124,6455.00,381.00,471.00,380.00,349466.00,90861.16,258604.84,1234.62,781
125,5866.00,225.00,396.00,357.00,387925.00,100860.50,287064.50,1909.85,638
126,6116.00,311.00,372.00,235.00,384615.00,61538.40,323076.60,2149.44,619
127,7274.00,388.00,446.00,298.00,468506.00,51535.66,416970.34,3059.58,553
128,8937.00,485.00,371.00,240.00,433729.00,117106.83,316622.17,1334.89,831
129,7654.00,237.00,473.00,373.00,278267.00,66784.08,211482.92,1135.29,727
130,4237.00,388.00,473.00,333.00,408597.00,98063.28,310533.72,1861.81,671
131,4478.00,441.00,488.00,362.00,412097.00,61814.55,350282.45,1476.80,832
132,6391.00,290.00,380.00,355.00,352426.00,91630.76,260795.24,1099.52,807
133,9084.00,465.00,483.00,441.00,451587.00,108380.88,343206.12,1638.52,767
134,7085.00,361.00,391.00,278.00,321686.00,77204.64,244481.36,1030.74,844
135,2429.00,364.00,396.00,363.00,372747.00,37274.70,335472.30,1414.36,847
136,4687.00,273.00,368.00,429.00,352606.00,74047.26,278558.74,2043.97,502
137,3011.00,402.00,444.00,223.00,251619.00,37742.85,213876.15,1021.08,797
138,8012.00,303.00,415.00,296.00,345445.00,20726.70,324718.30,2160.36,640
139,3482.00,419.00,494.00,351.00,315903.00,69498.66,246404.34,1808.03,582
140,2440.00,282.00,387.00,228.00,306749.00,70552.27,236196.73,1267.96,745
141,7428.00,333.00,450.00,325.00,483190.00,28991.40,454198.60,2723.15,696
142,4338.00,356.00,381.00,267.00,366253.00,25637.71,340615.29,2499.31,589
143,4359.00,385.00,453.00,212.00,300132.00,69030.36,231101.64,974.33,835
144,6162.00,314.00,451.00,425.00,397060.00,39706.00,357354.00,2622.14,562
145,5040.00,475.00,392.00,323.00,491660.00,137664.80,353995.20,2355.14,641
146,2349.00,367.00,436.00,275.00,380825.00,41890.75,338934.25,2486.98,527
147,8313.00,215.00,415.00,433.00,449788.00,44978.80,404809.20,1932.62,772
148,5989.00,359.00,391.00,445.00,307494.00,79948.44,227545.56,1086.34,756
149,9775.00,338.00,415.00,252.00,300999.00,66219.78,234779.22,1120.87,789
150,7521.00,367.00,450.00,400.00,315187.00,18911.22,296275.78,1590.47,730
151,4757.00,238.00,477.00,304.00,360654.00,28852.32,331801.68,2434.64,565
152,3272.00,473.00,423.00,238.00,372878.00,33559.02,339318.98,1619.96,794
153,5906.00,377.00,427.00,402.00,298505.00,80596.35,217908.65,918.71,830
154,2251.00,351.00,487.00,256.00,466250.00,93250.00,373000.00,2481.58,625
155,3978.00,465.00,351.00,339.00,366200.00,87888.00,278312.00,2042.15,514
156,5968.00,323.00,467.00,267.00,394534.00,82852.14,311681.86,2287.01,502
157,5368.00,431.00,383.00,395.00,249720.00,22474.80,227245.20,1511.87,616
158,2180.00,413.00,421.00,339.00,357366.00,75046.86,282319.14,1878.28,649
159,8346.00,477.00,407.00,311.00,473151.00,33120.57,440030.43,2100.77,790
160,3715.00,438.00,420.00,268.00,274791.00,19235.37,255555.63,1875.18,540
161,8857.00,435.00,362.00,328.00,457372.00,59458.36,397913.64,2647.33,648
162,6154.00,335.00,415.00,442.00,454299.00,122660.73,331638.27,2206.40,638
163,5635.00,350.00,426.00,437.00,426555.00,81045.45,345509.55,2535.23,572
164,7348.00,474.00,396.00,404.00,258126.00,25812.60,232313.40,1545.59,633
165,2758.00,306.00,432.00,411.00,332291.00,63135.29,269155.71,1284.99,755
166,2793.00,278.00,390.00,313.00,414143.00,86970.03,327172.97,1961.57,665
167,2690.00,243.00,445.00,438.00,289614.00,14480.70,275133.30,1830.47,622
168,3985.00,342.00,388.00,418.00,433082.00,43308.20,389773.80,1860.84,772
169,9257.00,413.00,456.00,402.00,359040.00,57446.40,301593.60,1271.53,814
170,5229.00,289.00,398.00,350.00,303214.00,24257.12,278956.88,2046.89,598
171,8275.00,300.00,390.00,446.00,346956.00,52043.40,294912.60,2163.96,543
172,3988.00,220.00,360.00,215.00,252688.00,42956.96,209731.04,884.23,809
173,4161.00,348.00,422.00,318.00,346333.00,90046.58,256286.42,1880.54,566
174,9381.00,349.00,353.00,406.00,463171.00,69475.65,393695.35,2619.26,640
175,9342.00,262.00,362.00,249.00,255349.00,61283.76,194065.24,1423.98,518
176,8386.00,215.00,386.00,333.00,332049.00,23243.43,308805.57,2265.91,544
177,9203.00,475.00,433.00,341.00,236893.00,42640.74,194252.26,1425.35,699
178,4669.00,488.00,481.00,317.00,292928.00,26363.52,266564.48,1598.19,667
179,7324.00,264.00,406.00,286.00,303051.00,75762.75,227288.25,1220.13,710
180,9875.00,403.00,353.00,247.00,462698.00,55523.76,407174.24,2708.94,628
181,8661.00,366.00,428.00,241.00,347876.00,80011.48,267864.52,1605.98,688
182,5517.00,449.00,464.00,286.00,333717.00,63406.23,270310.77,1139.64,812
183,2122.00,380.00,476.00,334.00,491976.00,49197.60,442778.40,3248.95,599
184,5251.00,344.00,372.00,232.00,496118.00,143874.22,352243.78,1681.67,797
185,7955.00,223.00,484.00,400.00,303839.00,63806.19,240032.81,1596.94,612
186,5760.00,200.00,436.00,269.00,350454.00,52568.10,297885.90,2185.78,593
187,6050.00,375.00,410.00,213.00,380961.00,102859.47,278101.53,2040.61,800
188,3022.00,210.00,482.00,391.00,382541.00,99460.66,283080.34,1193.48,801
189,2995.00,484.00,435.00,335.00,357027.00,92827.02,264199.98,1261.33,793
190,3962.00,243.00,474.00,263.00,484659.00,106624.98,378034.02,2266.50,686
191,2607.00,206.00,362.00,325.00,327745.00,58994.10,268750.90,1133.06,824
192,4672.00,445.00,461.00,249.00,339351.00,74657.22,264693.78,1263.69,780
193,4110.00,252.00,410.00,334.00,394634.00,82873.14,311760.86,2287.59,504
194,3868.00,286.00,404.00,259.00,466298.00,41966.82,424331.18,1789.00,846
195,7183.00,433.00,472.00,422.00,412631.00,103157.75,309473.25,2270.81,549
196,2341.00,354.00,374.00,449.00,291610.00,49573.70,242036.30,1775.98,800
197,6714.00,318.00,455.00,300.00,470192.00,56423.04,413768.96,3036.09,503
198,4400.00,433.00,398.00,241.00,258352.00,46503.36,211848.64,1554.47,506
199,7834.00,287.00,462.00,292.00,442455.00,44245.50,398209.50,2649.30,605
200,4956.00,303.00,460.00,280.00,230615.00,20755.35,209859.65,1126.57,730
201,9832.00,383.00,494.00,386.00,244232.00,39077.12,205154.88,1230.01,697
202,5533.00,281.00,377.00,267.00,241424.00,43456.32,197967.68,1452.62,509
203,4574.00,496.00,467.00,403.00,275641.00,52371.79,223269.21,1338.61,669
204,3520.00,345.00,479.00,307.00,407029.00,85476.09,321552.91,2359.44,577
205,5256.00,364.00,392.00,306.00,431155.00,38803.95,392351.05,1654.17,836
206,7622.00,279.00,352.00,318.00,264745.00,42359.20,222385.80,1631.79,562
207,2995.00,486.00,400.00,419.00,392361.00,47083.32,345277.68,2533.53,571
208,5638.00,453.00,468.00,202.00,459754.00,36780.32,422973.68,2814.05,648
209,8647.00,272.00,499.00,392.00,390637.00,89846.51,300790.49,1268.14,824
210,9694.00,288.00,448.00,214.00,496218.00,89319.24,406898.76,2184.32,748
211,9779.00,315.00,352.00,314.00,289557.00,69493.68,220063.32,1614.75,572
212,9472.00,326.00,361.00,348.00,498943.00,54883.73,444059.27,3258.35,588
213,6070.00,367.00,405.00,342.00,418896.00,92157.12,326738.88,2173.80,642
214,4283.00,203.00,431.00,240.00,390250.00,70245.00,320005.00,1717.86,741
215,2333.00,425.00,457.00,403.00,483907.00,91942.33,391964.67,1871.30,757
216,3262.00,244.00,416.00,318.00,269730.00,67432.50,202297.50,852.89,826
217,6184.00,216.00,464.00,408.00,401449.00,36130.41,365318.59,1961.11,740
218,9632.00,227.00,448.00,436.00,378822.00,83340.84,295481.16,2168.14,564
219,8315.00,385.00,428.00,228.00,243219.00,70533.51,172685.49,1267.10,543
220,8174.00,449.00,356.00,329.00,337517.00,60753.06,276763.94,2030.80,587
221,9152.00,214.00,416.00,269.00,453337.00,104267.51,349069.49,2561.35,572
222,3731.00,386.00,355.00,422.00,335153.00,40218.36,294934.64,1583.27,732
223,4718.00,213.00,371.00,371.00,253830.00,12691.50,241138.50,1294.48,729
224,4295.00,417.00,391.00,449.00,465924.00,69888.60,396035.40,1890.73,792
225,3955.00,401.00,414.00,267.00,346788.00,97100.64,249687.36,1832.12,507
226,9528.00,489.00,402.00,337.00,300287.00,60057.40,240229.60,1762.72,593
227,8952.00,329.00,358.00,348.00,320023.00,44803.22,275219.78,1650.08,690
228,3718.00,288.00,362.00,289.00,366513.00,76967.73,289545.27,1220.73,803
229,2447.00,341.00,371.00,424.00,331401.00,79536.24,251864.76,1202.44,788
230,9640.00,280.00,498.00,248.00,481661.00,28899.66,452761.34,3012.23,635
231,2318.00,221.00,431.00,352.00,447271.00,49199.81,398071.19,2648.38,611
232,3402.00,260.00,470.00,240.00,356531.00,64175.58,292355.42,1395.75,775
233,5639.00,317.00,430.00,420.00,237606.00,49897.26,187708.74,1248.83,635
234,4635.00,388.00,370.00,311.00,308046.00,55448.28,252597.72,1205.94,762
235,2741.00,270.00,455.00,334.00,471205.00,61256.65,409948.35,1728.36,814
236,7149.00,416.00,447.00,322.00,475594.00,52315.34,423278.66,2537.77,686
237,6328.00,362.00,476.00,239.00,264719.00,34413.47,230305.53,1689.90,518
238,8133.00,427.00,400.00,398.00,492038.00,59044.56,432993.44,2880.72,640
239,5540.00,250.00,475.00,208.00,344863.00,37934.93,306928.07,1465.32,786
240,4944.00,335.00,415.00,219.00,357317.00,17865.85,339451.15,2490.77,540
241,3530.00,208.00,468.00,282.00,477513.00,47751.30,429761.70,3153.44,567
242,6838.00,419.00,445.00,292.00,247385.00,51950.85,195434.15,1300.23,621
243,6571.00,295.00,446.00,366.00,380408.00,34236.72,346171.28,2303.09,642
244,2192.00,471.00,365.00,323.00,232380.00,13942.80,218437.20,1309.64,654
245,3921.00,488.00,479.00,257.00,337125.00,50568.75,286556.25,1368.06,791
246,6733.00,273.00,387.00,255.00,252726.00,53072.46,199653.54,1464.99,502
247,4868.00,297.00,482.00,409.00,484455.00,82357.35,402097.65,2158.55,730
248,6954.00,269.00,460.00,254.00,449901.00,49489.11,400411.89,1911.63,760
249,9702.00,239.00,369.00,331.00,488219.00,63468.47,424750.53,3116.67,590
250,3993.00,267.00,429.00,436.00,422811.00,46509.21,376301.79,2020.07,729
251,4937.00,249.00,433.00,355.00,356398.00,32075.82,324322.18,2157.72,648
252,5206.00,325.00,477.00,249.00,235689.00,44780.91,190908.09,1024.84,734
253,9310.00,288.00,406.00,418.00,474670.00,71200.50,403469.50,2419.00,683
254,4976.00,360.00,422.00,289.00,475864.00,104690.08,371173.92,1772.04,797
255,8475.00,274.00,486.00,371.00,433129.00,69300.64,363828.36,2420.56,613
256,3975.00,285.00,389.00,424.00,385166.00,96291.50,288874.50,1379.13,770
257,8119.00,426.00,460.00,214.00,373411.00,85884.53,287526.47,1372.70,776
258,5720.00,342.00,496.00,277.00,237458.00,42742.44,194715.56,929.60,787
259,3149.00,319.00,427.00,436.00,494690.00,39575.20,455114.80,3339.47,513
260,6724.00,209.00,434.00,356.00,273387.00,19137.09,254249.91,1524.36,665
261,7732.00,285.00,379.00,259.00,483294.00,43496.46,439797.54,2636.81,694
262,9671.00,205.00,401.00,401.00,314134.00,69109.48,245024.52,1169.78,759
263,5432.00,383.00,457.00,287.00,320457.00,16022.85,304434.15,2233.83,598
264,2023.00,303.00,445.00,328.00,402414.00,80482.80,321931.20,1357.27,803
265,2331.00,254.00,441.00,226.00,463471.00,74155.36,389315.64,1641.37,841
266,2414.00,468.00,464.00,384.00,429077.00,120141.56,308935.44,1852.22,663
267,5615.00,251.00,368.00,373.00,443059.00,70889.44,372169.56,2730.85,576
268,5690.00,497.00,424.00,287.00,291805.00,32098.55,259706.45,1905.63,513
269,2620.00,368.00,380.00,266.00,499532.00,109897.04,389634.96,1642.72,823
270,5783.00,404.00,458.00,353.00,248539.00,34795.46,213743.54,1568.37,586
271,4100.00,348.00,371.00,223.00,444569.00,97805.18,346763.82,2307.03,615
272,7573.00,390.00,367.00,447.00,450481.00,112620.25,337860.75,2025.65,654
273,6558.00,354.00,404.00,411.00,393837.00,110274.36,283562.64,2080.68,576
274,4056.00,262.00,371.00,419.00,445488.00,40093.92,405394.08,2176.24,710
275,5896.00,311.00,466.00,242.00,240419.00,48083.80,192335.20,1411.29,561
276,7016.00,460.00,422.00,429.00,248802.00,32344.26,216457.74,1161.99,722
277,3926.00,470.00,402.00,269.00,247655.00,56960.65,190694.35,1268.69,645
278,5559.00,401.00,475.00,309.00,311359.00,40476.67,270882.33,1454.15,736
279,7731.00,216.00,364.00,427.00,488521.00,83048.57,405472.43,1709.49,828
280,8846.00,232.00,429.00,316.00,369126.00,107046.54,262079.46,1571.30,685
281,3879.00,264.00,353.00,254.00,332962.00,56603.54,276358.46,1838.62,616
282,2969.00,217.00,484.00,257.00,480906.00,139462.74,341443.26,2271.63,700
283,5107.00,403.00,453.00,224.00,453413.00,31738.91,421674.09,2013.14,763
284,4340.00,495.00,492.00,291.00,369207.00,55381.05,313825.95,1881.55,680
285,2415.00,494.00,495.00,445.00,252507.00,22725.63,229781.37,968.77,849
286,4001.00,484.00,428.00,426.00,398310.00,39831.00,358479.00,2630.39,582
287,2564.00,206.00,440.00,378.00,385707.00,61713.12,323993.88,1365.97,829
288,7817.00,213.00,461.00,287.00,257746.00,36084.44,221661.56,1626.47,578
289,5907.00,241.00,473.00,406.00,471878.00,56625.36,415252.64,1750.72,815
290,7998.00,434.00,451.00,215.00,497026.00,134197.02,362828.98,2662.31,538
291,5813.00,346.00,484.00,300.00,450165.00,36013.20,414151.80,2483.05,656
292,4857.00,492.00,382.00,415.00,389628.00,35066.52,354561.48,1692.73,786
293,3694.00,386.00,442.00,258.00,450949.00,67642.35,383306.65,2812.57,550
294,3982.00,238.00,373.00,399.00,254723.00,63680.75,191042.25,912.06,791
295,3653.00,274.00,448.00,279.00,269599.00,18871.93,250727.07,1839.75,555
296,9242.00,344.00,440.00,228.00,393721.00,78744.20,314976.80,2311.19,749
297,9750.00,421.00,391.00,250.00,356159.00,56985.44,299173.56,2195.23,564
298,2643.00,297.00,388.00,263.00,439388.00,70302.08,369085.92,2212.86,681
299,3955.00,472.00,364.00,373.00,366149.00,32953.41,333195.59,2444.87,592
300,7898.00,372.00,443.00,288.00,459376.00,50531.36,408844.64,2999.96,591
301,3485.00,258.00,412.00,245.00,366304.00,62271.68,304032.32,2230.88,593
302,7216.00,361.00,428.00,325.00,300439.00,33048.29,267390.71,1962.02,800
303,2401.00,360.00,438.00,230.00,464970.00,65095.80,399874.20,2146.61,743
304,8620.00,346.00,387.00,204.00,324502.00,29205.18,295296.82,2166.78,554
305,4212.00,326.00,394.00,397.00,342715.00,47980.10,294734.90,1407.11,787
306,2514.00,236.00,493.00,283.00,390169.00,58525.35,331643.65,1780.33,736
307,5413.00,300.00,392.00,252.00,292861.00,35143.32,257717.68,1086.55,803
308,3368.00,325.00,407.00,433.00,445656.00,115870.56,329785.44,1977.23,684
309,4241.00,496.00,462.00,368.00,459494.00,133253.26,326240.74,1375.44,811
310,6029.00,398.00,461.00,252.00,267056.00,56081.76,210974.24,1007.22,761
311,7250.00,467.00,443.00,256.00,354926.00,49689.64,305236.36,2239.72,589
312,4418.00,309.00,473.00,416.00,385973.00,111932.17,274040.83,1308.31,789
313,4111.00,278.00,416.00,234.00,428296.00,89942.16,338353.84,1615.35,750
314,8044.00,391.00,462.00,281.00,333271.00,59988.78,273282.22,1818.15,612
315,2672.00,446.00,438.00,408.00,496086.00,44647.74,451438.26,2706.60,671
316,6490.00,314.00,462.00,228.00,344051.00,51607.65,292443.35,1232.95,844
317,2451.00,431.00,353.00,368.00,487624.00,29257.44,458366.56,3049.52,632
318,3290.00,440.00,495.00,284.00,369154.00,62756.18,306397.82,1837.01,687
319,9218.00,491.00,491.00,378.00,420581.00,50469.72,370111.28,2219.00,661
320,2996.00,350.00,479.00,289.00,234540.00,35181.00,199359.00,1195.26,679
321,5254.00,304.00,386.00,244.00,413849.00,49661.88,364187.12,2672.28,561
322,6693.00,440.00,387.00,236.00,336374.00,80729.76,255644.24,1875.83,597
323,4676.00,254.00,433.00,332.00,436953.00,34956.24,401996.76,1919.19,763
324,3251.00,458.00,472.00,377.00,449832.00,26989.92,422842.08,2269.91,730
325,4034.00,209.00,389.00,245.00,375733.00,93933.25,281799.75,1874.82,646
326,6080.00,380.00,374.00,435.00,258192.00,69711.84,188480.16,794.64,803
327,4906.00,415.00,392.00,314.00,497985.00,34858.95,463126.05,3398.25,583
328,7563.00,202.00,433.00,272.00,421948.00,33755.84,388192.16,2327.41,660
329,9010.00,291.00,494.00,218.00,408915.00,81783.00,327132.00,1756.12,727
330,2993.00,214.00,361.00,381.00,307424.00,86078.72,221345.28,1056.74,793
331,3275.00,466.00,489.00,253.00,375656.00,101427.12,274228.88,1156.16,841
332,6732.00,308.00,433.00,275.00,481683.00,81886.11,399796.89,2659.86,606
333,8025.00,388.00,408.00,287.00,380104.00,60816.64,319287.36,1524.33,763
334,6606.00,330.00,435.00,209.00,493889.00,113594.47,380294.53,1603.34,849
335,3384.00,280.00,388.00,433.00,370051.00,96213.26,273837.74,1821.85,607
336,5117.00,480.00,409.00,442.00,309860.00,86760.80,223099.20,940.60,804
337,8618.00,372.00,356.00,216.00,403159.00,96758.16,306400.84,1462.80,794
